@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_sub_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
10.0.38.43|10.0.38.43|10.0.38.43|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMAGTR|IPAG1||JUNIPER MX SERIES|10.204.241.72|12.122.129.112|10.0.38.43||IN-SERVICE|ORMFL325IA1|||
12.122.8.51|12.122.8.51|12.122.8.51|||GFPIP|true|||SANTX21CRS|||BR|12.122.8.51|12.122.8.51|||||||
32.119.225.255|32.119.225.255|32.119.225.255|||GFPIP|true|||DEHNVR1001ME2|||AR|32.119.225.255|32.119.225.255|||||||
32.119.225.254|32.119.225.254|32.119.225.254|||GFPIP|true|||DEHNVR1002ME2|||AR|32.119.225.254|32.119.225.254|||||||
32.120.175.126|32.120.175.126|32.120.175.126|||GFPIP|true|||DKARHS1002ME2|||AR|32.120.175.126|32.120.175.126|||||||
32.119.167.240|32.119.167.240|32.119.167.240|||GFPIP|true|||PHMKTI1002ME2|||AR|32.119.167.240|32.119.167.240|||||||
32.120.94.249|32.120.94.249|32.120.94.249|||GFPIP|true|||VECRCS1002ME2|||AR|32.120.94.249|32.120.94.249|||||||
12.82.60.24|12.82.60.24|12.82.60.24|||GFPIP|true|||||||12.82.60.24|12.82.60.24|||||861||
12.82.24.13|12.82.24.13|12.82.24.13|||GFPIP|true|||||||12.82.24.13|12.82.24.13|||||197||
12.82.62.8|12.82.62.8|12.82.62.8|||GFPIP|true|||||||12.82.62.8|12.82.62.8|||||||
12.82.140.3|12.82.140.3|12.82.140.3|||GFPIP|true|||||||12.82.140.3|12.82.140.3|||||||
12.82.102.4|12.82.102.4|12.82.102.4|||GFPIP|true|||||||12.82.102.4|12.82.102.4|||||578||
12.82.16.49|12.82.16.49|12.82.16.49|||GFPIP|true|||||||12.82.16.49|12.82.16.49|||||699||
12.82.24.75|12.82.24.75|12.82.24.75|||GFPIP|true|||||||12.82.24.75|12.82.24.75|||||||
12.82.146.20|12.82.146.20|12.82.146.20|||GFPIP|true|||||||12.82.146.20|12.82.146.20|||||||
12.82.8.74|12.82.8.74|12.82.8.74|||GFPIP|true|||||||12.82.8.74|12.82.8.74|||||1024||
12.82.122.2|12.82.122.2|12.82.122.2|||GFPIP|true|||||||12.82.122.2|12.82.122.2|||||1138||
12.82.86.13|12.82.86.13|12.82.86.13|||GFPIP|true|||||||12.82.86.13|12.82.86.13|||||572||
12.82.148.6|12.82.148.6|12.82.148.6|||GFPIP|true|||||||12.82.148.6|12.82.148.6|||||||
12.82.66.20|12.82.66.20|12.82.66.20|||GFPIP|true|||||||12.82.66.20|12.82.66.20|||||254||
12.123.80.46|12.123.80.46|12.123.80.46|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA787|IPAG1||JUNIPER MX SERIES|12.122.122.73|12.123.136.52|12.123.80.46||IN-SERVICE|CRANV304IA1|||
12.123.104.212|12.123.104.212|12.123.104.212|ETHERNET-NFO|IPAG|SROUTER|true|B|3925|ORLDFLMA317|||CISCO 3900 SERIES|10.204.244.39||12.123.104.212||IN-SERVICE|ORMFL61NM7|||
12.80.72.118|12.80.72.118|12.80.72.118|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24VL4|IPAG1||JUNIPER MX SERIES|10.204.247.127|12.123.75.216|12.80.72.118||IN-SERVICE|ORIFL350IA1|||
12.82.0.61|12.82.0.61|12.82.0.61|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24DXP|IPAG1||JUNIPER MX SERIES|10.204.246.200|12.123.75.35|12.82.0.61||IN-SERVICE|ORIFL306IA1|3015||
149.0.3.154|149.0.3.154|149.0.3.154|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAUMX|IPAG1||JUNIPER MX SERIES|10.204.242.73|12.122.130.70|149.0.3.154||IN-SERVICE|DYAFL376IA1|||
143.0.68.205|143.0.68.205|143.0.68.205|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|ANHMCAGTO01|IPAG2||JUNIPER MX SERIES|10.204.243.79|12.122.131.69|143.0.68.205||IN-SERVICE|ANBCA302IA2|||
12.122.124.117|12.122.124.117|12.122.124.117|EGS-CFO|EGS|||||cgcil53ck4||||||||||||
12.123.71.4|12.123.71.4|12.123.71.4|EGS-CFO|EGS|||||dtrmi309me1||||||||||||
12.123.71.51|12.123.71.51|12.123.71.51|EGS-CFO|EGS|||||wshdc302me1||||||||||||
12.122.8.121|12.122.8.121|12.122.8.121|||GFPIP|true|||ATTGA81CRS|||BR|12.122.8.121|12.122.8.121|||||||
12.122.125.105|12.122.125.105|12.122.125.105|EGS-CFO|EGS|||||phlpa47ck4||||||||||||
12.123.71.67|12.123.71.67|12.123.71.67|EGS-CFO|EGS|||||brhal306me1||||||||||||
12.123.71.81|12.123.71.81|12.123.71.81|EGS-CFO|EGS|||||kc9mo308me1||||||||||||
149.0.3.213|149.0.3.213|149.0.3.213|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAD02|IPAG1||JUNIPER MX SERIES|10.204.242.134|12.122.130.130|149.0.3.213||IN-SERVICE|DYAFL307IA3|||
32.120.176.253|32.120.176.253|32.120.176.253|||GFPIP|true|||LULXBG1002ME2|||AR|32.120.176.253|32.120.176.253|||||||
165.87.251.144|165.87.251.144|165.87.251.144|||GFPIP|true|||INCHNN1001ME2|||AR|165.87.251.144|165.87.251.144|||||||
165.87.245.239|165.87.245.239|165.87.245.239|||GFPIP|true|||CATORO2002ME2|||AR|165.87.245.239|165.87.245.239|||||||
12.82.92.13|12.82.92.13|12.82.92.13|||GFPIP|true|||||||12.82.92.13|12.82.92.13|||||||
165.87.245.71|165.87.245.71|165.87.245.71|||GFPIP|true|||COBOGT1001ME2|||AR|165.87.245.71|165.87.245.71|||||||
12.82.40.75|12.82.40.75|12.82.40.75|||GFPIP|true|||||||12.82.40.75|12.82.40.75|||||640||
12.82.146.15|12.82.146.15|12.82.146.15|||GFPIP|true|||||||12.82.146.15|12.82.146.15|||||||
12.82.94.17|12.82.94.17|12.82.94.17|||GFPIP|true|||||||12.82.94.17|12.82.94.17|||||971||
12.82.144.11|12.82.144.11|12.82.144.11|||GFPIP|true|||||||12.82.144.11|12.82.144.11|||||||
12.82.32.70|12.82.32.70|12.82.32.70|||GFPIP|true|||||||12.82.32.70|12.82.32.70|||||741||
12.82.63.15|12.82.63.15|12.82.63.15|||GFPIP|true|||||||12.82.63.15|12.82.63.15|||||||
12.82.146.29|12.82.146.29|12.82.146.29|||GFPIP|true|||||||12.82.146.29|12.82.146.29|||||||
12.82.100.5|12.82.100.5|12.82.100.5|||GFPIP|true|||||||12.82.100.5|12.82.100.5|||||852||
12.82.16.109|12.82.16.109|12.82.16.109|||GFPIP|true|||||||12.82.16.109|12.82.16.109|||||||
12.82.64.22|12.82.64.22|12.82.64.22|||GFPIP|true|||||||12.82.64.22|12.82.64.22|||||448||
12.82.58.15|12.82.58.15|12.82.58.15|||GFPIP|true|||||||12.82.58.15|12.82.58.15|||||||
12.82.96.15|12.82.96.15|12.82.96.15|||GFPIP|true|||||||12.82.96.15|12.82.96.15|||||479||
12.82.96.23|12.82.96.23|12.82.96.23|||GFPIP|true|||||||12.82.96.23|12.82.96.23|||||913||
12.82.40.110|12.82.40.110|12.82.40.110|||GFPIP|true|||||||12.82.40.110|12.82.40.110|||||1017||
12.82.117.15|12.82.117.15|12.82.117.15|||GFPIP|true|||||||12.82.117.15|12.82.117.15|||||||
12.82.122.17|12.82.122.17|12.82.122.17|||GFPIP|true|||||||12.82.122.17|12.82.122.17|||||||
12.82.109.7|12.82.109.7|12.82.109.7|||GFPIP|true|||||||12.82.109.7|12.82.109.7|||||||
12.82.32.84|12.82.32.84|12.82.32.84|||GFPIP|true|||||||12.82.32.84|12.82.32.84|||||||
12.82.32.64|12.82.32.64|12.82.32.64|||GFPIP|true|||||||12.82.32.64|12.82.32.64|||||750||
12.82.0.69|12.82.0.69|12.82.0.69|||GFPIP|true|||||||12.82.0.69|12.82.0.69|||||1152||
12.82.50.73|12.82.50.73|12.82.50.73|||GFPIP|true|||||||12.82.50.73|12.82.50.73|||||||
12.82.0.113|12.82.0.113|12.82.0.113|||GFPIP|true|||||||12.82.0.113|12.82.0.113|||||||
12.82.110.13|12.82.110.13|12.82.110.13|||GFPIP|true|||||||12.82.110.13|12.82.110.13|||||1103||
12.82.16.52|12.82.16.52|12.82.16.52|||GFPIP|true|||||||12.82.16.52|12.82.16.52|||||700||
12.82.76.22|12.82.76.22|12.82.76.22|||GFPIP|true|||||||12.82.76.22|12.82.76.22|||||508||
12.82.92.9|12.82.92.9|12.82.92.9|||GFPIP|true|||||||12.82.92.9|12.82.92.9|||||554||
12.82.40.137|12.82.40.137|12.82.40.137|||GFPIP|true|||||||12.82.40.137|12.82.40.137|||||||
12.82.128.11|12.82.128.11|12.82.128.11|||GFPIP|true|||||||12.82.128.11|12.82.128.11|||||||
12.82.16.126|12.82.16.126|12.82.16.126|||GFPIP|true|||||||12.82.16.126|12.82.16.126|||||||
12.82.131.3|12.82.131.3|12.82.131.3|||GFPIP|true|||||||12.82.131.3|12.82.131.3|||||||
12.122.125.130|12.122.125.130|12.122.125.130|EGS-CFO|EGS|||||phmaz39ck4||||||||||||
165.87.184.2|165.87.184.2|165.87.184.2|EGS-CFO|EGS|||||BEBRSL1002CR1||||||||||||
135.184.195.55|135.184.195.55|135.184.195.55|EGS-CFO|EGS|||||nycmnyegs03-c6513||||||||||||
165.87.255.176|165.87.255.176|165.87.255.176|EGS-CFO|EGS|||||NOOSLO1001ER1||||||||||||
12.123.67.189|12.123.67.189|12.123.67.189|EGS-CFO|EGS|||||cl2oh302me1||||||||||||
12.123.67.194|12.123.67.194|12.123.67.194|EGS-CFO|EGS|||||ipsin303me1||||||||||||
12.122.124.34|12.122.124.34|12.122.124.34|EGS-CFO|EGS|||||santx32ck4||||||||||||
12.122.125.217|12.122.125.217|12.122.125.217|EGS-CFO|EGS|||||sfcca32ck4||||||||||||
10.0.36.75|10.0.36.75|10.0.36.75|||OEW-VPLS|true||JUNIPER MX960|HS1TX304VR1|||VR1|148.0.129.165|149.0.4.207|10.0.36.75||PROV|||cbbsnmp|
10.0.38.33|10.0.38.33|10.0.38.33|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMASA0|IPAG1||JUNIPER MX SERIES|12.122.123.19|12.122.128.133|10.0.38.33||IN-SERVICE|ORMFL315IA1|||
10.0.34.15|10.0.34.15|10.0.34.15|||OEW-VPLS|true||JUNIPER MX960|SFFCA307VR1|||VR1|148.2.0.18|10.0.41.78|10.0.34.15||PROV|||cbbsnmp|
10.0.39.156|10.0.39.156|10.0.39.156|||OEW-SROUTER|true||CISCO 2821|NSVTN04NM9|||NM9|10.0.40.23||10.0.39.156||PROV|||cbbsnmp|
12.123.68.5|12.123.68.5|12.123.68.5|||OEW-VPLS|true||JUNIPER MX960|CB1MA305VR1|||VR1|12.122.126.209|10.0.35.100|12.123.68.5||CAPPED|||cbbsnmp|
12.123.80.32|12.123.80.32|12.123.80.32|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32B61|IPAG1||JUNIPER MX SERIES|12.122.122.58|12.123.136.38|12.123.80.32||IN-SERVICE|ORGFL312IA1|||
12.123.80.17|12.123.80.17|12.123.80.17|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA1IP|IPAG1||JUNIPER MX SERIES|12.122.122.38|12.123.136.26|12.123.80.17||IN-SERVICE|CRANV301IA1|||
12.123.80.90|12.123.80.90|12.123.80.90|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|STAGFLMAPAA|IPAG2||JUNIPER MX SERIES|12.122.122.122|12.123.136.101|12.123.80.90||IN-SERVICE|STBFL309IA2|||
12.80.72.108|12.80.72.108|12.80.72.108|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMA30K|IPAG1||JUNIPER MX SERIES|10.204.247.116|12.123.75.205|12.80.72.108||IN-SERVICE|RLFNC344IA1|||
12.123.80.69|12.123.80.69|12.123.80.69|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|PNCYFLMAGB1|IPAG1||JUNIPER MX SERIES|12.122.122.95|12.123.136.74|12.123.80.69||IN-SERVICE|PNAFL303IA1|||
12.80.72.119|12.80.72.119|12.80.72.119|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAAS9|IPAG1||JUNIPER MX SERIES|10.204.247.128|12.123.75.217|12.80.72.119||IN-SERVICE|RLFNC347IA1|||
12.80.72.61|12.80.72.61|12.80.72.61|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24GTR|IPAG1||JUNIPER MX SERIES|10.204.247.62|12.123.75.151|12.80.72.61||IN-SERVICE|ORIFL327IA1|||
143.0.68.195|143.0.68.195|143.0.68.195|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNFCCA061AD|IPAG1||JUNIPER MX SERIES|10.204.243.69|12.122.131.59|143.0.68.195||IN-SERVICE|SANCA301IA3|||
143.0.68.118|143.0.68.118|143.0.68.118|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVMAM09|IPAG2||JUNIPER MX SERIES|10.204.242.240|12.122.130.231|143.0.68.118||IN-SERVICE|CRCNV330IA2|||
143.0.68.245|143.0.68.245|143.0.68.245|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|GSVLFLANH06|IPAG2||JUNIPER MX SERIES|10.204.243.119|12.122.131.109|143.0.68.245||IN-SERVICE|GSHFL308IA2|||
148.0.131.254|148.0.131.254|148.0.131.254|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|RENONVYAPLQ|IPAG1||JUNIPER MX SERIES|10.204.241.37|12.122.129.80|148.0.131.254||IN-SERVICE|REANV312IA1|||
143.1.140.2|143.1.140.2|143.1.140.2|||OEW-VPLS|true||JUNIPER MX960|SLKUT302VR1|||VR1|148.2.0.79|143.0.96.115|143.1.140.2||CAPPED|||cbbsnmp|
149.0.3.222|149.0.3.222|149.0.3.222|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAL08|IPAG1||JUNIPER MX SERIES|10.204.242.143|12.122.130.139|149.0.3.222||IN-SERVICE|DYAFL309IA3|||
149.0.3.228|149.0.3.228|149.0.3.228|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAV23|IPAG1||JUNIPER MX SERIES|10.204.242.150|12.122.130.146|149.0.3.228||IN-SERVICE|CRCNV312IA3|||
165.87.253.183|165.87.253.183|165.87.253.183|||GFPIP|true|||DEFRNK1003ME2|||AR|165.87.253.183|165.87.253.183|||||||
8.8.0.235|8.8.0.235|8.8.0.235|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMAWE1|IPAG1||JUNIPER MX SERIES|12.81.162.6|12.123.76.149|8.8.0.235||IN-SERVICE|OLDFL311IA1|||
165.87.245.97|165.87.245.97|165.87.245.97|||GFPIP|true|||MXMNTR1001RR5|||RR|165.87.245.97|165.87.245.97|||||||
32.120.131.125|32.120.131.125|32.120.131.125|||GFPIP|true|||GBLOND4002ME2|||AR|32.120.131.125|32.120.131.125|||||||
32.119.213.254|32.119.213.254|32.119.213.254|||GFPIP|true|||FRPARI3002ME2|||AR|32.119.213.254|32.119.213.254|||||||
32.119.246.127|32.119.246.127|32.119.246.127|||GFPIP|true|||IEDUBL1002ME2|||AR|32.119.246.127|32.119.246.127|||||||
32.119.201.250|32.119.201.250|32.119.201.250|||GFPIP|true|||AUPRTH2001ME2|||AR|32.119.201.250|32.119.201.250|||||||
12.82.50.65|12.82.50.65|12.82.50.65|||GFPIP|true|||||||12.82.50.65|12.82.50.65|||||||
165.87.253.151|165.87.253.151|165.87.253.151|||GFPIP|true|||ZAJHBG1001ME2|||AR|165.87.253.151|165.87.253.151|||||||
12.82.40.79|12.82.40.79|12.82.40.79|||GFPIP|true|||||||12.82.40.79|12.82.40.79|||||639||
12.82.40.136|12.82.40.136|12.82.40.136|||GFPIP|true|||||||12.82.40.136|12.82.40.136|||||||
12.82.94.31|12.82.94.31|12.82.94.31|||GFPIP|true|||||||12.82.94.31|12.82.94.31|||||||
12.82.66.16|12.82.66.16|12.82.66.16|||GFPIP|true|||||||12.82.66.16|12.82.66.16|||||251||
12.82.40.124|12.82.40.124|12.82.40.124|||GFPIP|true|||||||12.82.40.124|12.82.40.124|||||1157||
12.82.24.89|12.82.24.89|12.82.24.89|||GFPIP|true|||||||12.82.24.89|12.82.24.89|||||||
12.82.154.13|12.82.154.13|12.82.154.13|||GFPIP|true|||||||12.82.154.13|12.82.154.13|||||||
12.82.76.29|12.82.76.29|12.82.76.29|||GFPIP|true|||||||12.82.76.29|12.82.76.29|||||1084||
12.82.96.5|12.82.96.5|12.82.96.5|||GFPIP|true|||||||12.82.96.5|12.82.96.5|||||480||
12.82.144.1|12.82.144.1|12.82.144.1|||GFPIP|true|||||||12.82.144.1|12.82.144.1|||||||
12.82.32.45|12.82.32.45|12.82.32.45|||GFPIP|true|||||||12.82.32.45|12.82.32.45|||||733||
12.82.78.13|12.82.78.13|12.82.78.13|||GFPIP|true|||||||12.82.78.13|12.82.78.13|||||466||
12.82.100.20|12.82.100.20|12.82.100.20|||GFPIP|true|||||||12.82.100.20|12.82.100.20|||||1081||
12.82.109.1|12.82.109.1|12.82.109.1|||GFPIP|true|||||||12.82.109.1|12.82.109.1|||||1129||
12.82.110.9|12.82.110.9|12.82.110.9|||GFPIP|true|||||||12.82.110.9|12.82.110.9|||||||
12.82.86.19|12.82.86.19|12.82.86.19|||GFPIP|true|||||||12.82.86.19|12.82.86.19|||||138||
12.82.16.64|12.82.16.64|12.82.16.64|||GFPIP|true|||||||12.82.16.64|12.82.16.64|||||949||
12.82.112.3|12.82.112.3|12.82.112.3|||GFPIP|true|||||||12.82.112.3|12.82.112.3|||||1006||
12.82.116.5|12.82.116.5|12.82.116.5|||GFPIP|true|||||||12.82.116.5|12.82.116.5|||||||
12.82.82.22|12.82.82.22|12.82.82.22|||GFPIP|true|||||||12.82.82.22|12.82.82.22|||||905||
12.82.70.4|12.82.70.4|12.82.70.4|||GFPIP|true|||||||12.82.70.4|12.82.70.4|||||130||
12.82.0.5|12.82.0.5|12.82.0.5|||GFPIP|true|||||||12.82.0.5|12.82.0.5|||||314||
12.82.82.30|12.82.82.30|12.82.82.30|||GFPIP|true|||||||12.82.82.30|12.82.82.30|||||1046||
12.82.24.26|12.82.24.26|12.82.24.26|||GFPIP|true|||||||12.82.24.26|12.82.24.26|||||202||
12.82.40.64|12.82.40.64|12.82.40.64|||GFPIP|true|||||||12.82.40.64|12.82.40.64|||||408||
12.82.16.108|12.82.16.108|12.82.16.108|||GFPIP|true|||||||12.82.16.108|12.82.16.108|||||||
12.82.0.36|12.82.0.36|12.82.0.36|||GFPIP|true|||||||12.82.0.36|12.82.0.36|||||304||
12.82.16.61|12.82.16.61|12.82.16.61|||GFPIP|true|||||||12.82.16.61|12.82.16.61|||||900||
12.82.0.88|12.82.0.88|12.82.0.88|||GFPIP|true|||||||12.82.0.88|12.82.0.88|||||1144||
12.82.24.73|12.82.24.73|12.82.24.73|||GFPIP|true|||||||12.82.24.73|12.82.24.73|||||1265||
12.82.92.27|12.82.92.27|12.82.92.27|||GFPIP|true|||||||12.82.92.27|12.82.92.27|||||595||
12.82.118.19|12.82.118.19|12.82.118.19|||GFPIP|true|||||||12.82.118.19|12.82.118.19|||||993||
12.82.16.47|12.82.16.47|12.82.16.47|||GFPIP|true|||||||12.82.16.47|12.82.16.47|||||119||
165.87.245.188|165.87.245.188|165.87.245.188|EGS-CFO|EGS|||||CATORO2003CR1||||||||||||
12.82.100.3|12.82.100.3|12.82.100.3|||GFPIP|true|||||||12.82.100.3|12.82.100.3|||||856||
12.123.70.131|12.123.70.131|12.123.70.131|EGS-CFO|EGS|||||wswdc313me1||||||||||||
12.123.67.216|12.123.67.216|12.123.67.216|EGS-CFO|EGS|||||btmmd301me1||||||||||||
165.87.254.39|165.87.254.39|165.87.254.39|EGS-CFO|EGS|||||FRPARI2001ER1||||||||||||
12.123.21.248|12.123.21.248|12.123.21.248|EGS-CFO|EGS|||||attga35ck4||||||||||||
12.123.70.151|12.123.70.151|12.123.70.151|EGS-CFO|EGS|||||sl9mo309me1||||||||||||
135.184.237.61|135.184.237.61|135.184.237.61|EGS-CFO|EGS|||||dlstx38ck4||||||||||||
12.123.70.178|12.123.70.178|12.123.70.178|EGS-CFO|EGS|||||ftwtx308me1||||||||||||
12.122.124.99|12.122.124.99|12.122.124.99|EGS-CFO|EGS|||||cgcil49ck4||||||||||||
12.122.124.128|12.122.124.128|12.122.124.128|EGS-CFO|EGS|||||ftwtx31ck4||||||||||||
12.122.126.192|12.122.126.192|12.122.126.192|EGS-CFO|EGS|||||nsvtn34ck4||||||||||||
165.87.246.59|165.87.246.59|165.87.246.59|EGS-CFO|EGS|||||CLSNTG1001ER1||||||||||||
12.82.74.1|12.82.74.1|12.82.74.1|||GFPIP|true|||||||12.82.74.1|12.82.74.1|||||3131||
165.87.255.205|165.87.255.205|165.87.255.205|EGS-CFO|EGS|||||DEMNCH2001ER1||||||||||||
12.122.124.143|12.122.124.143|12.122.124.143|EGS-CFO|EGS|||||dlstx59ck4||||||||||||
12.123.70.249|12.123.70.249|12.123.70.249|EGS-CFO|EGS|||||ok3ca303me1||||||||||||
12.82.8.99|12.82.8.99|12.82.8.99|||GFPIP|true|||||||12.82.8.99|12.82.8.99|||||||
12.82.24.39|12.82.24.39|12.82.24.39|||GFPIP|true|||||||12.82.24.39|12.82.24.39|||||651||
12.82.116.4|12.82.116.4|12.82.116.4|||GFPIP|true|||||||12.82.116.4|12.82.116.4|||||||
12.82.102.7|12.82.102.7|12.82.102.7|||GFPIP|true|||||||12.82.102.7|12.82.102.7|||||204||
12.82.16.57|12.82.16.57|12.82.16.57|||GFPIP|true|||||||12.82.16.57|12.82.16.57|||||||
12.82.122.21|12.82.122.21|12.82.122.21|||GFPIP|true|||||||12.82.122.21|12.82.122.21|||||||
12.82.64.21|12.82.64.21|12.82.64.21|||GFPIP|true|||||||12.82.64.21|12.82.64.21|||||575||
12.82.40.142|12.82.40.142|12.82.40.142|||GFPIP|true|||||||12.82.40.142|12.82.40.142|||||||
12.82.62.7|12.82.62.7|12.82.62.7|||GFPIP|true|||||||12.82.62.7|12.82.62.7|||||||
12.82.100.19|12.82.100.19|12.82.100.19|||GFPIP|true|||||||12.82.100.19|12.82.100.19|||||1080||
12.82.40.9|12.82.40.9|12.82.40.9|||GFPIP|true|||||||12.82.40.9|12.82.40.9|||||415||
12.82.40.35|12.82.40.35|12.82.40.35|||GFPIP|true|||||||12.82.40.35|12.82.40.35|||||389||
12.82.78.16|12.82.78.16|12.82.78.16|||GFPIP|true|||||||12.82.78.16|12.82.78.16|||||228||
12.82.40.66|12.82.40.66|12.82.40.66|||GFPIP|true|||||||12.82.40.66|12.82.40.66|||||427||
12.82.24.25|12.82.24.25|12.82.24.25|||GFPIP|true|||||||12.82.24.25|12.82.24.25|||||188||
12.82.16.11|12.82.16.11|12.82.16.11|||GFPIP|true|||||||12.82.16.11|12.82.16.11|||||104||
12.82.70.16|12.82.70.16|12.82.70.16|||GFPIP|true|||||||12.82.70.16|12.82.70.16|||||134||
12.82.70.23|12.82.70.23|12.82.70.23|||GFPIP|true|||||||12.82.70.23|12.82.70.23|||||664||
12.82.16.39|12.82.16.39|12.82.16.39|||GFPIP|true|||||||12.82.16.39|12.82.16.39|||||524||
12.82.32.37|12.82.32.37|12.82.32.37|||GFPIP|true|||||||12.82.32.37|12.82.32.37|||||744||
12.82.40.69|12.82.40.69|12.82.40.69|||GFPIP|true|||||||12.82.40.69|12.82.40.69|||||411||
12.82.96.6|12.82.96.6|12.82.96.6|||GFPIP|true|||||||12.82.96.6|12.82.96.6|||||484||
12.82.16.15|12.82.16.15|12.82.16.15|||GFPIP|true|||||||12.82.16.15|12.82.16.15|||||341||
12.82.106.8|12.82.106.8|12.82.106.8|||GFPIP|true|||||||12.82.106.8|12.82.106.8|||||954||
12.82.82.4|12.82.82.4|12.82.82.4|||GFPIP|true|||||||12.82.82.4|12.82.82.4|||||349||
12.82.72.6|12.82.72.6|12.82.72.6|||GFPIP|true|||||||12.82.72.6|12.82.72.6|||||218||
12.82.100.12|12.82.100.12|12.82.100.12|||GFPIP|true|||||||12.82.100.12|12.82.100.12|||||982||
32.119.201.248|32.119.201.248|32.119.201.248|EGS-CFO|EGS|||||AUPRTH2081CR1||||||||||||
12.123.67.132|12.123.67.132|12.123.67.132|EGS-CFO|EGS|||||ormfl303me1||||||||||||
12.122.125.242|12.122.125.242|12.122.125.242|EGS-CFO|EGS|||||st6wa46ck4||||||||||||
12.123.13.228|12.123.13.228|12.123.13.228|EGS-CFO|EGS|||||sffca34ck4||||||||||||
12.123.70.82|12.123.70.82|12.123.70.82|EGS-CFO|EGS|||||santx303me1||||||||||||
12.123.70.133|12.123.70.133|12.123.70.133|EGS-CFO|EGS|||||omhne305me1||||||||||||
165.87.125.139|165.87.125.139|165.87.125.139|EGS-CFO|EGS|||||INNWDL2002CR1||||||||||||
12.123.70.125|12.123.70.125|12.123.70.125|EGS-CFO|EGS|||||sfcca301me1||||||||||||
165.87.250.150|165.87.250.150|165.87.250.150|EGS-CFO|EGS|||||PHMKTI2001ER1||||||||||||
12.123.70.148|12.123.70.148|12.123.70.148|EGS-CFO|EGS|||||auttx304me1||||||||||||
12.123.70.159|12.123.70.159|12.123.70.159|EGS-CFO|EGS|||||mdswi306me1||||||||||||
12.122.126.4|12.122.126.4|12.122.126.4|EGS-CFO|EGS|||||ltrar31ck4||||||||||||
12.123.67.137|12.123.67.137|12.123.67.137|EGS-CFO|EGS|||||sl9mo305me1||||||||||||
12.122.126.53|12.122.126.53|12.122.126.53|EGS-CFO|EGS|||||wswdc53ck4||||||||||||
12.123.70.167|12.123.70.167|12.123.70.167|EGS-CFO|EGS|||||okbil306me1||||||||||||
12.123.70.181|12.123.70.181|12.123.70.181|EGS-CFO|EGS|||||cb1ma309me1||||||||||||
12.82.64.17|12.82.64.17|12.82.64.17|||GFPIP|true|||||||12.82.64.17|12.82.64.17|||||487||
12.82.40.147|12.82.40.147|12.82.40.147|||GFPIP|true|||||||12.82.40.147|12.82.40.147|||||||
12.82.40.157|12.82.40.157|12.82.40.157|||GFPIP|true|||||||12.82.40.157|12.82.40.157|||||||
12.82.106.5|12.82.106.5|12.82.106.5|||GFPIP|true|||||||12.82.106.5|12.82.106.5|||||714||
12.82.88.12|12.82.88.12|12.82.88.12|||GFPIP|true|||||||12.82.88.12|12.82.88.12|||||443||
12.82.8.77|12.82.8.77|12.82.8.77|||GFPIP|true|||||||12.82.8.77|12.82.8.77|||||1097||
12.82.24.30|12.82.24.30|12.82.24.30|||GFPIP|true|||||||12.82.24.30|12.82.24.30|||||783||
12.82.8.20|12.82.8.20|12.82.8.20|||GFPIP|true|||||||12.82.8.20|12.82.8.20|||||||
12.82.40.86|12.82.40.86|12.82.40.86|||GFPIP|true|||||||12.82.40.86|12.82.40.86|||||587||
12.82.64.20|12.82.64.20|12.82.64.20|||GFPIP|true|||||||12.82.64.20|12.82.64.20|||||678||
12.82.8.39|12.82.8.39|12.82.8.39|||GFPIP|true|||||||12.82.8.39|12.82.8.39|||||685||
12.82.100.11|12.82.100.11|12.82.100.11|||GFPIP|true|||||||12.82.100.11|12.82.100.11|||||979||
